"Identifier","Organisation_Name","Sub_building_Name","Building_Name","Building_Number","Primary_Thorfare","Alt_Thorfare","Secondary_Thorfare","Locality","Townland","Town","County","Postcode","x_coordinates","y_coordinates"
67941,NA,NA,NA,"4","ELSTREE COURT",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490TG",267606,423437
69016,NA,NA,NA,"21","MOUNT EDEN",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490RP",268550,421833
69036,NA,NA,NA,"8","BROOKFIELD PARK",NA,NA,NA,"LARGY","LIMAVADY","LONDONDERRY","BT499ER",267307,418171
69044,NA,NA,NA,"710","SEACOAST ROAD",NA,NA,NA,"BENONE","LIMAVADY","LONDONDERRY","BT490LH",271631,435428
69264,NA,NA,NA,"54","TARTNAKILLY ROAD",NA,NA,NA,"GLACK","LIMAVADY","LONDONDERRY","BT499NA",262114,418761
69287,NA,NA,NA,"9","RATHBEG CRESCENT",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AT",267534,422563
69353,NA,NA,NA,"107","SHANREAGH PARK",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SG",268170,422658
69367,NA,NA,NA,"10","SCROGGY CLOSE",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490SU",267888,422010
69406,NA,NA,NA,"5","THACKERAY PLACE",NA,NA,NA,"KILLANE","LIMAVADY","LONDONDERRY","BT490BE",267442,423514
69480,NA,NA,NA,"33","JOSEPHINE AVENUE",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BA",267202,422403
69606,NA,NA,NA,"41","BALLYQUIN ROAD",NA,NA,NA,"DEER PARK","LIMAVADY","LONDONDERRY","BT499EY",267840,420843
69684,"ULSTER UNIONIST PARTY",NA,NA,"9","IRISH GREEN STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AA",267138,423032
70055,NA,NA,NA,NA,"GLENHEAD ROAD",NA,NA,NA,"BALLYDARROG","LIMAVADY","LONDONDERRY","BT499LW",265222,418804
70191,NA,NA,NA,"30","PETRIE PLACE",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490GB",268683,422523
70205,NA,NA,NA,"26","CROSSNADONNELL ROAD",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490BD",268739,422738
70314,NA,NA,NA,"9","GORTENANIMA",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490GF",268781,422738
70324,NA,NA,NA,"19","GORTENANIMA",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490GF",268725,422801
70620,NA,NA,NA,"8","DANNY BOY PLACE",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490UH",268900,422316
71014,NA,NA,NA,"4","RUSH HALL COTTAGES",NA,"BROIGHTER ROAD",NA,"BROGLASCO","LIMAVADY","LONDONDERRY","BT499HG",264583,424593
71020,NA,NA,NA,"44","DRUMACHOSE PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490NZ",268028,422247
71021,NA,NA,NA,"13","ROSSEDEN PARK",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490PQ",268961,422079
71032,NA,NA,NA,"668","SEACOAST ROAD",NA,NA,NA,"BENONE","LIMAVADY","LONDONDERRY","BT490LG",271158,435205
71057,NA,NA,NA,"55","CASTLE PARK",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SW",268468,423210
71107,NA,NA,NA,"16","GLENROE WALK",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT490RU",267748,421819
71121,NA,NA,NA,"54","ROE MILL GARDENS",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AU",267206,422241
71138,NA,NA,NA,"5","TYLER AVENUE",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DT",267871,423605
71164,NA,NA,NA,"76","SCROGGY ROAD",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490NB",267996,422158
71171,NA,NA,NA,"30","WHISPERING PINES",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490UB",268920,422448
71177,NA,NA,NA,"4","ANNADALE LANE",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BX",267075,422921
71269,NA,NA,NA,"12","GLENROE WALK",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT490RU",267718,421831
71292,NA,NA,NA,"23","KNOCKANBAAN",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490UL",268737,422842
71339,NA,NA,NA,"2","GLACK MOR",NA,NA,NA,"GLACK","LIMAVADY","LONDONDERRY","BT499GA",261982,418675
72365,NA,NA,NA,"31","BENONE AVENUE",NA,NA,NA,"BENONE","LIMAVADY","LONDONDERRY","BT490LQ",271772,435742
72877,NA,NA,NA,"118","DRUMMOND MANOR",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490UP",269239,422229
72988,NA,NA,NA,"108","MEADOWVALE PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490SL",268274,422142
73182,NA,NA,NA,"19","CROSSNADONNELL ROAD",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490BD",268600,422545
73416,NA,NA,NA,"111","DRUMMOND MANOR",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490UQ",269177,422189
73548,NA,NA,NA,"129","BARANAILT ROAD",NA,NA,"LIMAVADY","DRUMRAIGHLAND","LIMAVADY","LONDONDERRY","BT499LT",264267,419619
73620,NA,NA,NA,"6","BROIGHTER GARDENS",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490GH",268795,422526
73805,NA,NA,NA,"48","DUNCRUN ROAD",NA,NA,NA,"TAMLAGHT (PART OF GLEBE)","LIMAVADY","LONDONDERRY","BT490JD",267628,431554
73901,NA,NA,NA,"7","SHORE AVENUE",NA,NA,NA,"CARROWCLARE","LIMAVADY","LONDONDERRY","BT499EE",263561,427073
73950,NA,NA,NA,"23","LILAC AVENUE",NA,NA,NA,"GORTNAMONEY","LIMAVADY","LONDONDERRY","BT490HS",267928,425118
74161,NA,NA,NA,"35","TARTNAKILLY ROAD",NA,NA,NA,"GLACK","LIMAVADY","LONDONDERRY","BT499NA",262070,419015
74184,NA,NA,NA,"56","ENAGH PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490SA",267932,421948
74188,NA,NA,NA,"43","WOODLAND WALK",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT499DQ",267363,421641
74189,NA,NA,NA,"3","DUNMORE PLACE",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AN",267371,422661
74190,NA,NA,NA,"13","IRWIN AVENUE",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT499HF",267326,421750
74191,NA,NA,NA,"57","CASTLE PARK",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SW",268454,423228
74193,NA,NA,NA,"5","BELLS HILL",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DQ",268074,423305
74194,NA,NA,NA,"112","ALEXANDER ROAD",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BP",267473,423346
74196,NA,NA,NA,"13","MULLAGH PLACE",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AY",267459,422610
74197,NA,NA,NA,"10","WILLIAM STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BL",266978,422815
74198,NA,NA,NA,"9","LOWRY PARK",NA,NA,NA,"CARRAN","LIMAVADY","LONDONDERRY","BT490NX",268386,421540
74199,NA,NA,NA,"7","ANNADALE PARK",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BW",267072,422807
74201,NA,NA,NA,"109","MOUNT EDEN",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490TN",268461,421719
74202,NA,NA,NA,"7","MULLAGH PLACE",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AY",267415,422588
74209,NA,NA,NA,"58","CASTLE PARK",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SB",268395,423050
74210,NA,NA,NA,"1","GLENBEG WALK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490RL",267718,421963
74211,NA,NA,NA,"36","BROIGHTER ROAD",NA,NA,NA,"GLEBE","LIMAVADY","LONDONDERRY","BT499DU",264797,423734
74213,NA,NA,NA,"17","GLENMORE GARDENS",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490RT",267744,422002
74214,NA,NA,NA,"48","CHURCH STREET",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BY",267748,423316
74215,NA,NA,NA,"35","ANDERSON PARK",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490RH",268208,422417
74217,NA,NA,NA,"6","ASHDALE PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490ED",267804,422387
74218,NA,NA,NA,"25","GLENGIVEN AVENUE",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT490RW",267811,421756
74222,"TUCK IN",NA,NA,"4","ANDERSON AVENUE",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490TF",268277,422532
74223,NA,NA,NA,"102C","WHITEHILL PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490QG",268223,421621
74224,NA,NA,NA,"150","DRUMACHOSE PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490SJ",268223,422186
74225,NA,NA,NA,"44","COOLESSAN WALK",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT499EN",267577,421792
74226,NA,NA,"DRUMACHOSE PRESBYTERIAN CHURCH","27","CHURCH STREET",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BX",267579,423310
74227,NA,NA,NA,"42","ENAGH PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490SA",267898,421940
74228,NA,NA,NA,"7","ENAGH PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490SA",267918,421810
74230,NA,NA,NA,"15","CASTLE PARK",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SW",268495,423097
74232,NA,NA,NA,"23","EDENMORE PARK",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490RG",268340,422297
74233,NA,NA,NA,"45","WOODLAND WALK",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT499DQ",267347,421634
74235,NA,NA,NA,"6","GORTEEN CRESCENT",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT499EW",267398,421704
74236,NA,NA,NA,"83","DOGLEAP ROAD",NA,NA,NA,"CARRAN","LIMAVADY","LONDONDERRY","BT499NN",268268,420592
74237,NA,NA,NA,"6","ENAGH PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490SA",267920,421795
74239,NA,NA,NA,"39","BALLYCLOSE STREET",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BL",267432,423436
74240,NA,NA,NA,"10","GREYSTONE PARK",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EG",267433,422402
74242,NA,NA,NA,"51","JANES VALLEY",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490EH",268586,422273
74243,NA,NA,NA,"27","JOSEPHINE AVENUE",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BA",267212,422388
74244,NA,NA,NA,"156","MOUNT EDEN",NA,NA,NA,"CARRAN","LIMAVADY","LONDONDERRY","BT490TS",268740,421456
74246,NA,NA,NA,"160","MOUNT EDEN",NA,NA,NA,"CARRAN","LIMAVADY","LONDONDERRY","BT490TS",268706,421445
74247,NA,NA,NA,"45","ROSSEDEN PARK",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490PQ",268858,422135
74250,NA,NA,NA,"1","ROEVILLE TERRACE",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490BH",267139,423489
74252,NA,NA,NA,"11","ROSSLYN CLOSE",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490WA",269062,422064
74256,NA,NA,NA,"80","WHISPERING PINES",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490UF",269116,422554
74258,"LIMAVADY CONCRETE PRODUCTS",NA,"CONCRETE WORKS",NA,"CARLARAGH ROAD",NA,NA,NA,"TERRYDRUM","LIMAVADY","LONDONDERRY","BT499LF",266472,418811
74259,NA,NA,NA,"19","DAISY DRIVE",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490DX",268904,422214
74265,NA,NA,NA,"23","WHISPERING PINES",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490UB",269014,422387
74276,NA,NA,NA,"43","CASTLE PARK",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SW",268538,423123
74277,NA,NA,NA,"27","NEWTON ROAD",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490UD",268543,422711
74495,NA,NA,NA,"360","DRUMSURN ROAD",NA,NA,NA,"BALLYNESS","LIMAVADY","LONDONDERRY","BT490PX",274496,415244
74512,NA,NA,NA,"192","DRUMRANE ROAD",NA,NA,NA,"TEMPLEMOYLE","LIMAVADY","LONDONDERRY","BT499LJ",268317,417350
74513,NA,NA,NA,"30","EAST ROAD",NA,NA,NA,"BALLYQUIN","LIMAVADY","LONDONDERRY","BT490NW",269563,417462
74533,NA,NA,"ST MATTHEW'S ROMAN CATHOLIC CHURCH",NA,"DRUMSURN ROAD",NA,NA,NA,"DRUMSURN LOWER","LIMAVADY","LONDONDERRY","BT490PX",272799,416408
74542,NA,NA,NA,"69","POLLYS BRAE ROAD",NA,NA,NA,"CARRICK","LIMAVADY","LONDONDERRY","BT499LN",266310,417773
74544,NA,NA,NA,"14","RUSHIE PARK","P핱RC NA LUACHRA",NA,NA,"DRUMSURN UPPER","LIMAVADY","LONDONDERRY","BT490LS",272055,417379
74635,NA,NA,NA,"49","DRUMAVALLY",NA,NA,NA,"DRUMAVALLY","LIMAVADY","LONDONDERRY","BT490LT",267148,432940
75005,NA,NA,NA,"94","WHITEHILL PARK",NA,NA,NA,"CARRAN","LIMAVADY","LONDONDERRY","BT490QG",268246,421551
75088,NA,NA,NA,"141","MEADOWVALE PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490SN",268319,421974
78649,NA,NA,NA,"11","BEECH ROAD",NA,NA,NA,"DRUMSURN LOWER","LIMAVADY","LONDONDERRY","BT490PR",272050,417195
79557,NA,NA,NA,"60","CARROWCLARE ROAD",NA,NA,NA,"CARROWMENAGH","LIMAVADY","LONDONDERRY","BT499EB",264413,428355
80515,NA,NA,NA,"31","CARRIAGE COURT",NA,NA,NA,"DRUMAVALLY","LIMAVADY","LONDONDERRY","BT490LU",267224,433010
80742,"JAMES DEVLIN & SONS LTD",NA,NA,"239A","DRUMSURN ROAD",NA,NA,NA,"DRUMSURN LOWER","LIMAVADY","LONDONDERRY","BT490PG",271760,417574
80995,NA,NA,NA,"52","ROE MILL GARDENS",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AU",267198,422255
81031,NA,NA,NA,"47","ALEXANDER ROAD",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BW",267496,423246
81487,NA,NA,NA,"44","PLANTATION VIEW",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490UX",268797,423121
81697,NA,NA,NA,"36","PLANTATION ROAD",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT499HX",268553,422957
81846,NA,NA,NA,"143","SEACOAST ROAD",NA,NA,NA,"CRESSY CRIB","LIMAVADY","LONDONDERRY","BT499EG",266246,427293
81961,NA,NA,NA,"47","IRISH GREEN STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AA",267174,422942
82023,NA,NA,NA,"63","WOODLAND WALK",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT499DQ",267258,421669
82025,NA,NA,NA,"37","CROSSNADONNELL ROAD",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490BD",268723,422629
82422,NA,NA,NA,"45","SCOTCHTOWN ROAD",NA,NA,NA,"MINEARNY","LIMAVADY","LONDONDERRY","BT490JY",265667,431004
82425,NA,NA,NA,"56","DRUMSURN ROAD",NA,NA,NA,"DRUMMOND","LIMAVADY","LONDONDERRY","BT490PD",269432,422588
82456,NA,NA,NA,"3","ALEXANDER ROAD",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BW",267331,423400
82457,NA,NA,NA,"14","ANDERSON CRESCENT",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490SY",268495,422072
82459,NA,NA,NA,"177","WHITEHILL PARK",NA,NA,NA,"CARRAN","LIMAVADY","LONDONDERRY","BT490QQ",268453,421467
82460,NA,NA,NA,"1","MOYNE WALK",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AX",267162,422284
82461,NA,NA,NA,"5","SCROGGY CLOSE",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490SU",267887,422064
82558,NA,NA,NA,"76","ALEXANDER ROAD",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BP",267411,423357
82675,NA,NA,NA,"127","SEACOAST ROAD",NA,NA,NA,"CULMORE LOWER","LIMAVADY","LONDONDERRY","BT499EG",266238,426559
82677,NA,NA,"SPORTS PAVILLION","41","SCROGGY ROAD",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490NA",267804,422647
82678,NA,NA,NA,"30","ARDGARVAN COTTAGES",NA,NA,NA,"ARDGARVAN","LIMAVADY","LONDONDERRY","BT490NF",268568,420210
82685,NA,NA,NA,"44","LOWRY PARK",NA,NA,NA,"CARRAN","LIMAVADY","LONDONDERRY","BT490NX",268456,421598
83786,NA,NA,NA,"7","FIDDLERS WAY",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490TX",268530,422491
83790,NA,NA,NA,"29","EDENVALE",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490RF",268506,421970
83890,NA,NA,NA,"40C","MAIN STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EU",266992,423222
83991,NA,"UNIT 7",NA,"454A","SEACOAST ROAD",NA,NA,NA,"MARGYMONAGHAN","LIMAVADY","LONDONDERRY","BT490LD",267376,433500
84002,NA,NA,NA,"134","DRUMSURN ROAD",NA,NA,NA,"ARDMORE","LIMAVADY","LONDONDERRY","BT490PD",270565,421161
84036,NA,NA,NA,"79","DRUMAVALLY",NA,NA,NA,"DRUMAVALLY","LIMAVADY","LONDONDERRY","BT490LT",267108,432946
84043,NA,NA,NA,NA,"BROAD ROAD",NA,NA,NA,"BALLYRISK BEG","LIMAVADY","LONDONDERRY","BT490QP",271397,424673
84066,NA,NA,NA,"1","ROE MILL GARDENS",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AT",267358,422320
84071,NA,NA,NA,"6","ANDERSON CRESCENT",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490SY",268549,422087
84193,NA,NA,NA,"79","ALEXANDER ROAD",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BP",267401,423389
84427,NA,NA,NA,"58A","ROE MILL GARDENS",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AU",267212,422227
85069,NA,NA,NA,"30","GORTENANIMA",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490GF",268790,422767
85750,NA,NA,NA,"122","EDENMORE ROAD",NA,NA,NA,"BALLYLEAGRY","LIMAVADY","LONDONDERRY","BT490NH",270164,418859
85751,NA,NA,NA,"32","SHANREAGH PARK",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SF",268056,422686
85761,NA,NA,NA,"1","ROSSMORE PLACE",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490WB",269042,422048
85781,NA,NA,NA,"39","COOLESSAN WALK",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT499EN",267527,421818
85782,NA,NA,NA,"64","GREYSTONE PARK",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EQ",267589,422424
85831,"ROE VALLEY ENTERPRISE LTD",NA,"ROE VALLEY ENTERPRISES TECHNOLOGY SUITE","1","AGHANLOO ROAD",NA,NA,"AGHANLOO INDUSTRIAL ESTATE","ARTIKELLY","LIMAVADY","LONDONDERRY","BT490HE",268342,425677
85836,NA,NA,NA,"25","DOWLAND ROAD",NA,NA,"FRUITHILL","STREEVE","LIMAVADY","LONDONDERRY","BT490HP",268625,424249
85846,NA,NA,NA,"3","GLENBANK WALK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490RJ",267815,422008
85848,"ALL CREATURES VETERINARY HEALTH CENTRE",NA,NA,"2","RATHBUAN BUSINESS PARK",NA,"GREYSTONE ROAD",NA,"FRUITHILL","LIMAVADY","LONDONDERRY","BT490PB",268667,423154
85849,NA,NA,NA,"1","CLOVERVALE",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490BG",268690,422172
85870,NA,NA,NA,"84","CONNELL STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EA",267350,423040
85893,"W B THOMPSON & CO SOLICITORS",NA,NA,"36","CATHERINE STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499DB",267056,422977
85894,NA,NA,NA,"23","BELLS HILL",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DQ",268171,423250
85967,NA,NA,NA,"67","SEACOAST ROAD",NA,NA,NA,"LOWER CORNDALE","LIMAVADY","LONDONDERRY","BT499DW",266464,425006
85968,"BELLARENA PRIMARY SCHOOL",NA,NA,"260","SEACOAST ROAD",NA,NA,NA,"CLAGAN","LIMAVADY","LONDONDERRY","BT490JB",266806,430541
85969,"RESEARCH RESOURCES LTD",NA,NA,"1","DOWLAND PARK",NA,NA,NA,"GRANNAGH","LIMAVADY","LONDONDERRY","BT490EJ",267364,425236
85978,NA,NA,NA,"32","GLENVIEW DRIVE",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490RZ",267647,422109
85985,NA,NA,NA,"24","GLENMORE GARDENS",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490RT",267735,422098
87005,NA,NA,NA,"585","SEACOAST ROAD",NA,NA,NA,"BALLYMACLARY","LIMAVADY","LONDONDERRY","BT490LG",270915,435051
87014,NA,NA,NA,"51","BENONE AVENUE",NA,NA,NA,"BENONE","LIMAVADY","LONDONDERRY","BT490LQ",272041,435792
87571,NA,NA,NA,"28","MAIN STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EU",267021,423239
87632,NA,NA,NA,"4","BARLEYHILL",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490FH",268438,421659
88074,NA,NA,NA,"89","BARLEYHILL",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490FH",268203,421666
88075,NA,NA,NA,"39","NEWTOWNE SQUARE",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490FL",267057,423144
88220,NA,NA,NA,"44","CATHERINE STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499DB",267025,422984
88300,NA,NA,NA,"645","SEACOAST ROAD",NA,NA,NA,"UMBRA","LIMAVADY","LONDONDERRY","BT490LH",272539,435507
88301,NA,NA,NA,"412","SEACOAST ROAD",NA,NA,NA,"LENAMORE","LIMAVADY","LONDONDERRY","BT490LD",267284,433067
88302,NA,NA,NA,"78","DUNCRUN ROAD",NA,NA,NA,"DUNCRUN","LIMAVADY","LONDONDERRY","BT490JD",268363,432141
88303,NA,NA,NA,"22","CURRAGH ROAD",NA,NA,"BALLYSCULLION","DUNCRUN","LIMAVADY","LONDONDERRY","BT490LE",268365,433063
88319,NA,NA,NA,"17","DRUMAVALLY",NA,NA,NA,"DRUMAVALLY","LIMAVADY","LONDONDERRY","BT490LT",267204,432840
88452,NA,NA,NA,"17","SCOTCHTOWN ROAD",NA,NA,NA,"CLAGAN","LIMAVADY","LONDONDERRY","BT490JA",266295,430612
88461,NA,NA,NA,"45","SHORE AVENUE",NA,NA,NA,"MYROE LEVEL (INTAKE)","LIMAVADY","LONDONDERRY","BT499EE",263344,427822
88464,NA,NA,NA,"14","DUNCRUN ROAD",NA,NA,NA,"CLAGAN","LIMAVADY","LONDONDERRY","BT490JD",267162,431036
88477,NA,NA,NA,"62","BOLEA ROAD",NA,NA,NA,"MULLANE","LIMAVADY","LONDONDERRY","BT490QT",270546,425035
88502,NA,NA,NA,"97","CARROWCLARE ROAD",NA,NA,NA,"CARROWCLARE","LIMAVADY","LONDONDERRY","BT499EB",263925,427822
88735,NA,NA,NA,"9","EVENTIDE GARDENS",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AX",267441,422543
88736,NA,NA,NA,"98","IRISH GREEN STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AN",267292,422609
88737,NA,NA,NA,"28","TARTNAKILLY ROAD",NA,NA,NA,"GLACK","LIMAVADY","LONDONDERRY","BT499NA",262462,419121
88738,NA,NA,NA,"18","BENBRADAGH AVENUE",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AR",267359,422531
